ITEM_ID;UNIT_ALL;UNIT;ENEMY_SET;CAT_1;CAT_2;CAT_3;CAT_4;CAT_5_6;CAT_5;CAT_6;b;PROP_CORR
98;U_59;U_59;ES_45;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;0.001;0.503
99;U_59;U_59;;D_1;CAT_2_1;CAT_3_4;0;F_A;F;A;-2.237;0.849
100;U_39;;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.39;0.714
101;U_21;;ES_47;D_1;CAT_2_2;CAT_3_4;0;F_A;F;A;-1.046;0.659
102;U_159;;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.968;0.316
103;U_124;;;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;0.721;0.374
104;U_206;U_206;ES_35;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.957;0.675
105;U_206;U_206;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.024;0.507
106;U_37;U_37;ES_27;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.529;0.597
107;U_37;U_37;;D_3;CAT_2_1;CAT_3_4;0;F_A;F;A;-0.715;0.629
108;U_84;;;D_3;CAT_2_1;CAT_3_3;1;G_A;G;A;-0.562;0.592
109;U_220;;;D_4;CAT_2_1;CAT_3_4;0;F_A;F;A;-0.263;0.549
110;U_89;;ES_42;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.599;0.604
111;U_23;;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;4.349;0.029
112;U_200;;;D_3;CAT_2_2;CAT_3_5;1;F_A;F;A;-0.481;0.583
113;U_19;U_19;ES_39;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.949;0.656
114;U_19;U_19;;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;0.048;0.477
115;U_48;;ES_41;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.821;0.634
116;U_36;U_36;ES_12;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.148;0.517
117;U_36;U_36;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-2.209;0.837
118;U_36;U_36;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.374;0.558
119;U_36;U_36;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;1.9;0.193
120;U_46;;ES_48;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.529;0.748
121;U_142;;ES_27;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.936;0.656
122;U_250;U_250;;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.693;0.626
123;U_250;U_250;;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.17;0.705
124;U_27;;;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.351;0.572
125;U_150;U_150;ES_35;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-2.587;0.876
126;U_150;U_150;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.158;0.696
127;U_249;;ES_24;D_3;CAT_2_3;CAT_3_1;0;F_A;F;A;0.194;0.45
128;U_192;U_192;;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.2;0.698
129;U_192;U_192;;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;0.365;0.42
130;U_123;;ES_20;D_2;CAT_2_1;CAT_3_5;1;G_A;G;A;0.483;0.399
131;U_155;;ES_8;D_3;CAT_2_2;CAT_3_4;0;F_A;F;A;-0.367;0.563
132;U_41;;ES_23;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.447;0.557
133;U_24;;ES_41;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-2.305;0.853
134;U_241;U_241;ES_24;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.469;0.749
135;U_241;U_241;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.188;0.534
136;U_25;;ES_47;D_1;CAT_2_2;CAT_3_4;0;F_A;F;A;-0.283;0.561
137;U_144;;;D_3;CAT_2_1;CAT_3_5;0;G_A;G;A;-0.516;0.581
138;U_78;U_78;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.294;0.547
139;U_78;U_78;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.508;0.249
140;U_78;U_78;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.593;0.238
141;U_135;;ES_11;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.423;0.571
142;U_237;;;D_4;CAT_2_1;CAT_3_5;1;F_A;F;A;-1.058;0.665
143;U_18;;;D_1;CAT_2_2;CAT_3_4;0;F_A;F;A;-0.991;0.654
144;U_34;U_34;ES_11;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.287;0.717
145;U_34;U_34;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-1.368;0.729
146;U_34;U_34;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;0.172;0.473
147;U_88;;ES_42;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.726;0.617
148;U_54;U_54;ES_47;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.079;0.678
149;U_54;U_54;;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.003;0.665
150;U_54;U_54;;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.62;0.762
151;U_202;;ES_31;D_3;CAT_2_1;CAT_3_5;0;G_A;G;A;-0.894;0.634
152;U_143;U_143;ES_27;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.321;0.72
153;U_143;U_143;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.859;0.647
154;U_238;;;D_4;CAT_2_1;CAT_3_2;0;G_A;G;A;2.114;0.163
155;U_94;;;D_2;CAT_2_1;CAT_3_2;1;F_A;F;A;3.056;0.085
156;U_31;;;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.29;0.712
157;U_57;U_57;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.106;0.475
158;U_57;U_57;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.816;0.353
159;U_57;U_57;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.057;0.484
160;U_134;U_134;ES_11;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.613;0.77
161;U_134;U_134;;D_3;CAT_2_1;CAT_3_4;0;F_A;F;A;0.086;0.485
162;U_93;;ES_44;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.056;0.674
163;U_77;;ES_41;D_1;CAT_2_1;CAT_3_4;0;F_A;F;A;-0.357;0.557
164;U_213;;;D_4;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.055;0.675
165;U_76;;ES_48;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;0.623;0.381
166;U_33;;ES_8;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.615;0.763
167;U_45;U_45;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.189;0.527
168;U_45;U_45;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.132;0.304
169;U_45;U_45;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.315;0.277
170;U_102;;ES_1;D_2;CAT_2_1;CAT_3_5;1;F_A;F;A;0.025;0.496
171;U_100;;;D_2;CAT_2_1;CAT_3_5;1;G_A;G;A;-0.739;0.627
172;U_222;;;D_4;CAT_2_1;CAT_3_2;1;G_A;G;A;-0.712;0.636
173;U_81;;ES_10;D_1;CAT_2_2;CAT_3_5;1;F_A;F;A;0.664;0.378
174;U_127;;ES_20;D_2;CAT_2_1;CAT_3_5;0;G_A;G;A;-0.161;0.506
175;U_140;;;D_3;CAT_2_1;CAT_3_5;0;S_B;S;B;1.517;0.42
176;U_125;;;D_2;CAT_2_1;CAT_3_2;0;G_A;G;A;2.037;0.183
177;U_166;;ES_3;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;1.165;0.299
178;U_68;U_68;ES_7;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.63;0.614
179;U_68;U_68;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.709;0.628
180;U_174;;ES_8;D_3;CAT_2_1;CAT_3_3;0;F_A;F;A;-2.518;0.865
181;U_169;;ES_27;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.061;0.661
182;U_165;;ES_6;D_3;CAT_2_1;CAT_3_5;1;G_A;G;A;0.037;0.501
183;U_109;;ES_21;D_2;CAT_2_1;CAT_3_5;0;G_A;G;A;0.794;0.343
184;U_228;;;D_4;CAT_2_1;CAT_3_5;1;G_A;G;A;0.694;0.373
185;U_56;;ES_10;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.374;0.735
186;U_198;U_198;ES_14;D_3;CAT_2_2;CAT_3_2;0;G_A;G;A;-1.264;0.715
187;U_198;U_198;;D_3;CAT_2_2;CAT_3_2;0;G_A;G;A;-0.258;0.55
188;U_187;U_187;ES_24;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.954;0.342
189;U_187;U_187;;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;0.188;0.474
190;U_103;;ES_1;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.094;0.69
191;U_111;;ES_20;D_2;CAT_2_1;CAT_3_5;1;G_A;G;A;-0.261;0.543
192;U_162;;;D_3;CAT_2_1;CAT_3_5;0;G_A;G;A;-1.081;0.682
193;U_177;;;D_3;CAT_2_1;CAT_3_2;0;S_B;S;B;-0.112;0.757
194;U_106;;ES_42;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.933;0.665
195;U_223;;ES_46;D_4;CAT_2_1;CAT_3_2;0;G_A;G;A;3.232;0.081
196;U_62;;ES_26;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.841;0.778
197;U_180;U_180;ES_24;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.638;0.385
198;U_180;U_180;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;1.225;0.287
199;U_232;;ES_23;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.092;0.503
200;U_104;;ES_1;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.628;0.62
201;U_112;;;D_2;CAT_2_1;CAT_3_4;1;G_A;G;A;1.197;0.294
202;U_132;;ES_37;D_3;CAT_2_1;CAT_3_4;0;G_A;G;A;-1.757;0.767
203;U_207;U_207;;D_3;CAT_2_1;CAT_3_5;1;S_B;S;B;-0.168;0.709
204;U_207;U_207;;D_3;CAT_2_1;CAT_3_2;1;S_B;S;B;1.018;0.495
205;U_225;;ES_9;D_4;CAT_2_1;CAT_3_4;0;G_A;G;A;1.23;0.288
206;U_178;;ES_43;D_3;CAT_2_1;CAT_3_2;0;S_B;S;B;0.386;0.605
207;U_244;U_244;ES_48;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.694;0.623
208;U_244;U_244;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.028;0.491
209;U_73;U_73;;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.309;0.71
210;U_73;U_73;;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.05;0.497
211;U_171;;ES_28;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;0.124;0.469
212;U_227;;;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;-3.045;0.912
213;U_110;;ES_21;D_2;CAT_2_1;CAT_3_5;0;G_A;G;A;1.047;0.307
214;U_96;;ES_33;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.739;0.124
215;U_186;;ES_8;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.859;0.651
216;U_69;U_69;ES_7;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.272;0.541
217;U_69;U_69;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.209;0.53
218;U_168;;ES_8;D_3;CAT_2_1;CAT_3_3;0;F_A;F;A;-0.355;0.574
219;U_114;;;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.651;0.605
220;U_188;U_188;ES_24;D_3;CAT_2_1;CAT_3_2;1;F_A;F;A;-0.682;0.614
221;U_188;U_188;;D_3;CAT_2_1;CAT_3_2;1;F_A;F;A;1.067;0.313
222;U_189;;ES_34;D_2;CAT_2_3;CAT_3_5;0;F_A;F;A;-0.144;0.52
223;U_60;U_60;ES_26;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.367;0.575
224;U_60;U_60;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;2.245;0.173
225;U_91;;ES_13;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;-1.815;0.793
226;U_183;U_183;ES_28;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.036;0.49
227;U_183;U_183;;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;0.254;0.451
228;U_113;;;D_2;CAT_2_1;CAT_3_3;0;F_A;F;A;0.284;0.444
229;U_26;U_26;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-1.156;0.682
230;U_26;U_26;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.124;0.5
231;U_26;U_26;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.481;0.237
232;U_157;;ES_34;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;1.332;0.273
233;U_176;U_176;ES_29;D_3;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.246;0.715
234;U_176;U_176;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;0.33;0.455
235;U_221;;ES_25;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;1.796;0.219
236;U_98;;;D_2;CAT_2_1;CAT_3_5;0;S_B;S;B;1.01;0.524
237;U_193;;;D_3;CAT_2_1;CAT_3_5;1;G_A;G;A;1.071;0.311
238;U_118;U_118;ES_44;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;0.216;0.46
239;U_118;U_118;;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;0.14;0.474
240;U_22;U_22;ES_48;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-2.514;0.877
241;U_22;U_22;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-2.454;0.871
242;U_22;U_22;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.399;0.43
243;U_22;U_22;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.884;0.203
244;U_173;U_173;ES_8;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.386;0.579
245;U_173;U_173;;D_3;CAT_2_2;CAT_3_4;0;F_A;F;A;1.379;0.285
246;U_70;U_70;ES_7;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.025;0.505
247;U_70;U_70;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.131;0.486
248;U_190;;ES_34;D_2;CAT_2_3;CAT_3_5;0;F_A;F;A;0.296;0.446
249;U_230;;;D_4;CAT_2_1;CAT_3_5;1;F_A;F;A;0.291;0.448
250;U_71;U_71;ES_7;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;1.047;0.303
251;U_71;U_71;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.73;0.353
252;U_163;U_163;ES_8;D_3;CAT_2_2;CAT_3_4;0;F_A;F;A;-0.595;0.595
253;U_163;U_163;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;2.403;0.135
254;U_175;;ES_39;D_2;CAT_2_2;CAT_3_2;0;F_A;F;A;1.802;0.209
255;U_231;U_231;;D_4;CAT_2_1;CAT_3_2;1;G_A;G;A;1.968;0.177
256;U_231;U_231;;D_4;CAT_2_1;CAT_3_4;1;G_A;G;A;1.442;0.242
257;U_61;U_61;ES_26;D_1;CAT_2_2;CAT_3_5;1;F_A;F;A;0.579;0.382
258;U_61;U_61;;D_1;CAT_2_2;CAT_3_1;1;F_A;F;A;0.182;0.453
259;U_172;;ES_28;D_3;CAT_2_1;CAT_3_2;0;F_A;F;A;0.499;0.407
260;U_115;;;D_2;CAT_2_1;CAT_3_2;0;F_A;F;A;-0.141;0.523
